Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
Brenden Aaronson,us USA,FW,Leeds United,21-289,2000,0.9,0,1,0,0,01.07,0,0,,19.9,0,0,0,0,0,0.05,0,0,Matches,5bc43860
Tyler Adams,us USA,MF,Leeds United,23-174,1999,1,0,1,0,0,1,0,0,,28,0,0,0,0,0,0.02,0,0,Matches,2b09d998
Tosin Adarabioyo,eng ENG,DF,Fulham,24-317,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,c81d773d
Rayan Aït Nouri,fr FRA,DF,Wolves,21-062,2001,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,9b398aea
Thiago Alcántara,es ESP,MF,Liverpool,31-118,1991,0.6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,77e84962
Trent Alexander-Arnold,eng ENG,DF,Liverpool,23-304,1998,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,cd1acf9d
Alisson,br BRA,GK,Liverpool,29-309,1992,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,7a2e46a8
Dele Alli,eng ENG,FW,Everton,26-118,1996,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,cea4ee8f
Miguel Almirón,py PAR,FW,Newcastle Utd,28-178,1994,0.9,0,1,1,100,1.13,1.13,0,0,9.4,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,862a1c15
Joachim Andersen,dk DEN,DF,Crystal Palace,26-068,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,e34fc66d
Cameron Archer,eng ENG,MF,Aston Villa,20-241,2001,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,05e8ca6d
Joe Aribo,ng NGA,FW,Southampton,26-017,1996,1,0,1,1,100,1,1,0,0,12,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,328f7d51
Adam Armstrong,eng ENG,FW,Southampton,25-178,1997,0.5,0,1,0,0,2,0,0,,24,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,68c720b5
Stuart Armstrong,sct SCO,FW,Southampton,30-130,1992,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,97333cf5
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,24-360,1997,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,e5478b87
Jordan Ayew,gh GHA,FW,Crystal Palace,30-330,1991,1,0,1,0,0,1,0,0,,13.9,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,da052c14
César Azpilicueta,es ESP,DF,Chelsea,32-344,1989,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,53cad200
Leon Bailey,jm JAM,FW,Aston Villa,24-363,1997,1,0,1,0,0,1,0,0,,13,0,0,0,0,0,0.04,0,0,Matches,3a233281
Patrick Bamford,eng ENG,FW,Leeds United,28-336,1993,0.9,0,2,2,100,2.17,2.17,0,0,20.3,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,93feac6e
Gavin Bazunu,ie IRL,GK,Southampton,20-168,2002,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,c91441dc
Jan Bednarek,pl POL,DF,Southampton,26-117,1996,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,4115ce4e
Rodrigo Bentancur,uy URU,MF,Tottenham,25-043,1997,0.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,3b8674e6
Philip Billing,dk DEN,MF,Bournemouth,26-057,1996,1,0,1,0,0,1,0,0,,16,0,0,0,0,0,0.04,0,0,Matches,d328a254
Yves Bissouma,ml MLI,MF,Tottenham,25-342,1996,0.1,0,1,0,0,18,0,0,,29.3,0,0,0,0,0,0.02,0,0,Matches,6c203af0
Sven Botman,nl NED,DF,Newcastle Utd,22-207,2000,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,ccce7025
Armando Broja,al ALB,FW,Chelsea,20-331,2001,0.2,0,1,1,100,5.63,5.63,0,0,9.5,0,0,0,0,0,0.04,0,0,Matches,97220da2
Emi Buendía,ar ARG,FW,Aston Villa,25-225,1996,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,66b76d44
Dan Burn,eng ENG,DF,Newcastle Utd,30-090,1992,1,0,4,1,25,4,1,0,0,8.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,b2d31e83
Tom Cairney,sct SCO,MF,Fulham,31-199,1991,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,a8748947
Chem Campbell,wls WAL,FW,Wolves,19-220,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches,6f711f67
Diego Carlos,br BRA,DF,Aston Villa,29-145,1993,1,0,1,0,0,1,0,0,,34,0,0,0,0,0,0.02,0,0,Matches,b4a014b1
Fabio Carvalho,pt POR,FW,Liverpool,19-342,2002,0.1,0,1,0,0,6.92,0,0,,13.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,966e28d0
Matty Cash,pl POL,DF,Aston Villa,25-000,1997,1,0,1,0,0,1,0,0,,22.5,0,0,0,0,0,0.03,0,0,Matches,2389cdc2
